[info] | 2026-03-29 16:57:34 | 收到反向 Websocket 消息 { action: 'send_group_msg', params: { group_id: 1020588915, message: [ { type: 'reply', data: { id: '399327597', chain: [], sender_id: 0, sender_nickname: '', time: 0, message_str: '', text: '', qq: 0, seq: 0 } }, { type: 'text', data: { text: '今天吃 米线！' } } ] }, echo: { seq: 6 } }

[info] | 2026-03-29 16:57:34 | [发-群] 自己的小群(1020588915) Enanananana(3678233304)：
今天吃 米线！

[info] | 2026-03-29 16:57:34 | WebQQ: 收到 nt/message-sent 事件, sseClients: 0

[info] | 2026-03-29 16:57:34 | 消息发送 { chatType: 2, peerUid: '1020588915', guildId: '' }

[info] | 2026-03-29 16:57:46 | WebSocket 事件上报 ws://127.0.0.1:3939/ws meta_event

